Camera Number,Round Number,Start date,End Date,Camera.Model,Camera.Sensitivity,Capture.Delay,Vegetation.Structure,Path.Type,Area.Behind.Camera,Bottleneck.,Livestock.Present.,Agricultural.Presence,Days.Operational,Cattle.Sightings
21,5,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Paved road,Clear,No,No livestock presence,Not near orchard/vineyard,21,0
21,6,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Paved road,Clear,No,No livestock presence,Not near orchard/vineyard,21,0
21,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,26/08/2020,07/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,No livestock presence,Not near orchard/vineyard,12,0
22,2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3,05/10/2020,14/10/2020,Browning DARK OPS HD MAX,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,No livestock presence,Not near orchard/vineyard,9,0
22,4,14/10/2020,02/11/2020,Browning DARK OPS HD MAX,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,No livestock presence,Not near orchard/vineyard,19,0
22,5,02/11/2020,23/11/2020,Browning DARK OPS HD MAX,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,No livestock presence,Not near orchard/vineyard,21,0
22,6,23/11/2020,14/12/2020,Browning DARK OPS HD MAX,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,No livestock presence,Not near orchard/vineyard,21,0
22,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,26/08/2020,07/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,Animal path without vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,12,0
23,2,07/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Animal path without vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,28,0
23,3,05/10/2020,14/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Animal path without vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,9,0
23,4,14/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Animal path without vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,19,0
23,5,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Animal path without vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,21,0
23,6,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Animal path without vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,21,0
23,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,26/08/2020,07/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,12,0
24,2,07/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,28,0
24,3,05/10/2020,14/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,9,0
24,4,14/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,19,2
24,5,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,21,0
24,6,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,21,2
24,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,26/08/2020,07/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,12,0
25,2,07/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,28,0
25,3,05/10/2020,14/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,9,0
25,4,14/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,19,0
25,5,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,21,0
25,6,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,Yes,No livestock presence,Not near orchard/vineyard,21,1
25,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,27/08/2020,01/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,5,30
26,2,01/09/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,16,37
26,3,17/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,18,14
26,4,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,13,36
26,5,18/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,15,6
26,6,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,21,67
26,7,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,21,7
27,1,27/08/2020,01/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,5,0
27,2,01/09/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,16,0
27,3,17/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,18,12
27,4,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,13,0
27,5,18/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,15,0
27,6,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,21,4
27,7,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Fence,Yes,No livestock presence,Not near orchard/vineyard,21,9
28,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,01/09/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,16,0
28,3,17/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,18,2
28,4,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,13,0
28,5,18/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,15,0
28,6,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,21,0
28,7,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,21,0
29,1,27/08/2020,01/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,5,0
29,2,01/09/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,16,0
29,3,17/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,18,5
29,4,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,13,0
29,5,18/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,15,0
29,6,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,21,4
29,7,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Grassland,Dirt path more than 1m wide,Clear,No,No livestock presence,Not near orchard/vineyard,21,0
30,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2,01/09/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,16,0
30,3,17/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,18,11
30,4,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,13,0
30,5,18/10/2020,02/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,15,0
30,6,02/11/2020,23/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,21,9
30,7,23/11/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,Dirt path more than 1m wide,Impassable due to topography,Yes,No livestock presence,Not near orchard/vineyard,21,0
31,1,27/08/2020,13/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,17,0
31,2,13/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,22,0
31,3,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,13,1
31,4,18/10/2020,09/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,22,0
31,5,09/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,22,0
31,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,13,0
31,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,27/08/2020,13/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Animal path without vehicles,Obstructed by vegetation,No,Livestock very present,Not near orchard/vineyard,17,29
32,2,13/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Animal path without vehicles,Obstructed by vegetation,No,Livestock very present,Not near orchard/vineyard,22,96
32,3,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Animal path without vehicles,Obstructed by vegetation,No,Livestock very present,Not near orchard/vineyard,13,179
32,4,18/10/2020,09/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Animal path without vehicles,Obstructed by vegetation,No,Livestock very present,Not near orchard/vineyard,22,180
32,5,09/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Animal path without vehicles,Obstructed by vegetation,No,Livestock very present,Not near orchard/vineyard,22,48
32,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,Animal path without vehicles,Obstructed by vegetation,No,Livestock very present,Not near orchard/vineyard,13,68
32,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,27/08/2020,13/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,Yes,Livestock very present,Not near orchard/vineyard,17,94
33,2,13/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,Yes,Livestock very present,Not near orchard/vineyard,22,64
33,3,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,Yes,Livestock very present,Not near orchard/vineyard,13,68
33,4,18/10/2020,09/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,Yes,Livestock very present,Not near orchard/vineyard,22,87
33,5,09/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,Yes,Livestock very present,Not near orchard/vineyard,22,160
33,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,4x4 Road with off-road vehicles,Obstructed by vegetation,Yes,Livestock very present,Not near orchard/vineyard,13,193
33,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,31/08/2020,13/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Dirt path more than 1m wide,Obstructed by vegetation,Yes,Livestock lightly present,Not near orchard/vineyard,13,8
34,2,13/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Obstructed by vegetation,Yes,Livestock lightly present,Not near orchard/vineyard,22,14
34,3,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Obstructed by vegetation,Yes,Livestock lightly present,Not near orchard/vineyard,13,18
34,4,18/10/2020,09/11/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Obstructed by vegetation,Yes,Livestock lightly present,Not near orchard/vineyard,22,37
34,5,09/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Obstructed by vegetation,Yes,Livestock lightly present,Not near orchard/vineyard,22,28
34,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Obstructed by vegetation,Yes,Livestock lightly present,Not near orchard/vineyard,13,30
34,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,31/08/2020,13/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Tree Cover Overhead,Dirt path more than 1m wide,Clear,Yes,Livestock lightly present,Not near orchard/vineyard,13,37
35,2,13/09/2020,05/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Clear,Yes,Livestock lightly present,Not near orchard/vineyard,22,56
35,3,05/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Clear,Yes,Livestock lightly present,Not near orchard/vineyard,13,65
35,4,18/10/2020,09/11/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Clear,Yes,Livestock lightly present,Not near orchard/vineyard,22,75
35,5,09/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Clear,Yes,Livestock lightly present,Not near orchard/vineyard,22,57
35,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Tree Cover Overhead,Dirt path more than 1m wide,Clear,Yes,Livestock lightly present,Not near orchard/vineyard,13,27
35,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,31/08/2020,16/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Shrubs > 2 m,4x4 Road with off-road vehicles,Impassable due to topography,No,Livestock lightly present,Not near orchard/vineyard,16,0
36,2,16/09/2020,01/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Shrubs > 2 m,4x4 Road with off-road vehicles,Impassable due to topography,No,Livestock lightly present,Not near orchard/vineyard,15,0
36,3,01/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Shrubs > 2 m,4x4 Road with off-road vehicles,Impassable due to topography,No,Livestock lightly present,Not near orchard/vineyard,17,0
36,4,18/10/2020,16/11/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Shrubs > 2 m,4x4 Road with off-road vehicles,Impassable due to topography,No,Livestock lightly present,Not near orchard/vineyard,29,0
36,5,16/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Shrubs > 2 m,4x4 Road with off-road vehicles,Impassable due to topography,No,Livestock lightly present,Not near orchard/vineyard,15,0
36,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,30 seconds,Shrubs > 2 m,4x4 Road with off-road vehicles,Impassable due to topography,No,Livestock lightly present,Not near orchard/vineyard,13,0
36,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,31/08/2020,16/09/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,1 minute,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,16,0
37,2,16/09/2020,01/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,1 minute,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,15,0
37,3,01/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,1 minute,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,17,7
37,4,18/10/2020,16/11/2020,Browning DARK OPS HD PRO X - Long Sensitivity,Long,1 minute,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,29,1
37,5,16/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,15,17
37,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,13,18
37,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,31/08/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,17,206
38,2,17/09/2020,01/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,14,87
38,3,01/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,17,44
38,4,18/10/2020,16/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,29,214
38,5,16/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,15,289
38,6,01/12/2020,15/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Clear,No,Livestock lightly present,Not near orchard/vineyard,14,354
38,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,01/09/2020,16/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Shrubs > 2 m,Dirt path more than 1m wide,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,15,1
39,2,16/09/2020,01/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Shrubs > 2 m,Dirt path more than 1m wide,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,15,0
39,3,01/10/2020,18/10/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Shrubs > 2 m,Dirt path more than 1m wide,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,17,0
39,4,18/10/2020,16/11/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Shrubs > 2 m,Dirt path more than 1m wide,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,29,0
39,5,16/11/2020,01/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Shrubs > 2 m,Dirt path more than 1m wide,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,15,0
39,6,01/12/2020,14/12/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,1 minute,Shrubs > 2 m,Dirt path more than 1m wide,Obstructed by vegetation,No,No livestock presence,Not near orchard/vineyard,13,0
39,7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,01/09/2020,17/09/2020,Browning DARK OPS HD PRO X - Normal Sensitivity,Normal,30 seconds,Grassland,4x4 Road with off-road vehicles,Obstructed by vegetation,No,Livestock lightly present,Not near orchard/vineyard,16,29
